Title,Media URL,Pinterest board,Description,Link,Publish date,Alt text
Cool Blue Capsule: Basic Tee by Cancel Stigma,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20-%20Basic%20tees/DSC09467.jpg,Aesthetic Clothing,Embrace the Cool Blue trend with this basic tee from Cancel Stigma — glacier aesthetics meet subzero sophistication in every detail. Icy blue hues for those who run cold and dress colder.,https://cancelstigma.com,2026-03-20 09:00:00,Cancel Stigma Basic Tee — Cool Blue style: glacier aesthetic and subzero sophistication.
Subzero Sophistication — Basic Tee Styled in Icy Blue,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20-%20Basic%20tees/DSC09481.jpg,Aesthetic Clothing,Embrace the Cool Blue trend with this basic tee from Cancel Stigma — glacier aesthetics meet subzero sophistication in every detail. Icy blue hues for those who run cold and dress colder.,https://cancelstigma.com,2026-03-20 14:00:00,Cancel Stigma Basic Tee — Cool Blue style: glacier aesthetic and subzero sophistication.
Earth Tones Redefined: Basic Tee in Utility Streetwear,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20-%20Basic%20tees/brown/DSC09316.jpg,Aesthetic Clothing,"Go Khaki Coded with this earth-toned basic tee from Cancel Stigma — utility streetwear collides with the paleontologist aesthetic for a look that's rugged, intentional, and deeply wearable.",https://cancelstigma.com,2026-03-20 19:00:00,Cancel Stigma Basic Tee — Khaki Coded style: utility streetwear and paleontologist aesthetic.
Subzero Sophistication: Basic Tee Styled in Dark Blue,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20-%20Basic%20tees/dark%20blue/DSC09527.jpg,Aesthetic Clothing,Embrace the Cool Blue trend with this basic tee from Cancel Stigma — glacier aesthetics and subzero sophistication woven into every thread. Styled in icy blue for those who dress ahead of the curve.,https://cancelstigma.com,2026-03-21 09:00:00,Cancel Stigma Basic Tee — Cool Blue style: glacier aesthetic and subzero sophistication.
Quiet Luxury Redefined — Basic Tee in White,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20-%20Basic%20tees/white/DSC09419.jpg,Aesthetic Clothing,Discover the Laced Up trend with this softly stitched basic tee from Cancel Stigma — unexpected elegance woven into every lace detail. A quiet piece that speaks volumes in your capsule wardrobe.,https://cancelstigma.com,2026-03-21 14:00:00,Cancel Stigma Basic Tee — Laced Up style: softly stitched and unexpected elegance.
After-Dark Glamour: Basic Tee in Jet Black,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20-%20Basic%20tees/black/DSC09704.jpg,Aesthetic Clothing,"Step into the Vamp Romantic era with this jet black basic tee from Cancel Stigma — dark romantic energy, after-dark glamour, and something hauntingly heartbreaking in every stitch. Aesthetic clothing for those who wear their mood.",https://cancelstigma.com,2026-03-21 19:00:00,Cancel Stigma Basic Tee — Vamp Romantic style: dark romantic and after-dark glamour.
Dark Romantic Aesthetic: Cropped Hoodie — Vamp Romantic 2026,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20-%20cropped%20hoodie%20%2B%20%20misfits/IMG_5977.JPG,Aesthetic Clothing,"Step into the Vamp Romantic era with this jet black cropped hoodie from Cancel Stigma — dark romantic energy, after-dark glamour, and something hauntingly heartbreaking in every stitch. Aesthetic clothing for those who wear their mood.",https://cancelstigma.com,2026-03-22 09:00:00,Cancel Stigma Cropped Hoodie — Vamp Romantic style: dark romantic and after-dark glamour.
Haunting & Heartbreaking: Cropped Hoodie in Jet Black by Cancel Stigma,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20-%20cropped%20hoodie%20%2B%20%20misfits/IMG_5989%20%283%29.JPG,Aesthetic Clothing,"Step into the Vamp Romantic era with this jet black cropped hoodie from Cancel Stigma — dark romantic energy, after-dark glamour, and something hauntingly heartbreaking in every stitch. Aesthetic clothing for those who wear their mood.",https://cancelstigma.com,2026-03-22 14:00:00,Cancel Stigma Cropped Hoodie — Vamp Romantic style: dark romantic and after-dark glamour.
After-Dark Glamour: Cropped Hoodie in Jet Black,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20-%20cropped%20hoodie%20%2B%20%20misfits/IMG_5990%20%281%29.JPG,Aesthetic Clothing,"Step into the Vamp Romantic era with this jet black cropped hoodie from Cancel Stigma — dark romantic energy, after-dark glamour, and something hauntingly heartbreaking in every stitch. Aesthetic clothing for those who wear their mood.",https://cancelstigma.com,2026-03-22 19:00:00,Cancel Stigma Cropped Hoodie — Vamp Romantic style: dark romantic and after-dark glamour.
Dark Romantic Aesthetic: Cropped Hoodie — Vamp Romantic 2026,https://raw.githubusercontent.com/Ankit-RH-24/Cancel-stigma-Pintrest/main/UGC%20-%20cropped%20hoodie%20%2B%20%20misfits/IMG_6060%20%282%29.JPG,Aesthetic Clothing,"Step into the Vamp Romantic era with this jet black cropped hoodie from Cancel Stigma — dark romantic energy, after-dark glamour, and something hauntingly heartbreaking in every stitch. Aesthetic clothing for those who wear their mood.",https://cancelstigma.com,2026-03-23 09:00:00,Cancel Stigma Cropped Hoodie — Vamp Romantic style: dark romantic and after-dark glamour.
